,id,cg_rank,cg_score,market_rank,daily_vol,tvl,mcap_t_tvl,price_change,number_of_exchanges
0,tether-eurt,877,23.16,675,16021216,0,0,0.68053,5
1,frontier-token,813,23.813,591,16260441,0,0,-3.00741,33
2,zipmex-token,937,22.412,413,9589076,0,0,-0.19514,2
3,wom-token,1203,20.358,854,13227210,0,0,125.1721,3
4,ocean-protocol,111,45.331,210,29439708,0,0,31.04506,41
5,catecoin,1650,17.454,666,916296,0,0,2110.01248,3
6,mina-protocol,37,53.861,93,74773600,0,0,15.90193,17
7,seedify-fund,509,28.02,468,4777702,0,0,49.47668,8
8,v-id-blockchain,491,28.282,692,9654096,0,0,22.80939,10
9,binamon,1229,20.143,840,3488764,0,0,-18.03588,6
10,mute,1638,17.506,728,760225,0,0,281.6476,1
11,aldrin,2035,15.466,719,364500,0,0,90.04339,2
12,nimiq-2,688,25.417,536,1210627,0,0,128.04307,4
13,aventus,1528,18.221,785,1050895,0,0,823.02992,3
14,dhedge-dao,1530,18.209,951,433714,24780923,0.8,23.37669,10
15,bytom,90,47.366,514,12856156,0,0,15.25791,21
16,smartlands,687,25.424,698,371644,0,0,-10.03578,2
17,qredo,887,23.068,437,20418943,0,0,123.05454,7
18,faraland,1287,19.775,638,1502390,0,0,48.36103,7
19,hermez-network-token,1329,19.426,474,849625,0,0,50.09332,5
20,secret,125,44.266,91,91890286,123261970,11.98,367.16383,9
21,superbid,910,22.782,849,1256240,0,0,94.27811,8
22,metis-token,1158,20.62,480,16307507,0,0,81.76004,6
23,lukso-token,547,27.461,177,4735669,0,0,45.83568,5
24,infinity-pad,1991,15.671,961,116835,0,0,-13.98335,3
25,atletico-madrid,989,22.013,817,4917251,0,0,-9.43354,5
26,gas,58,51.009,423,12243739,0,0,11.65865,27
27,gny,2018,15.569,644,136497,0,0,3.85017,6
28,star-atlas-dao,459,29.008,375,10619885,0,0,-5.1659,9
29,lbry-credits,101,46.105,810,280124,0,0,31.93796,5
30,safemoon,155,40.831,68,25294496,0,0,208.53163,15
31,bakerytoken,597,26.728,213,67758191,245024485,1.46,18.76245,28
32,celo,91,47.137,69,93790247,783494354,2.76,7.31249,20
33,orbs,753,24.531,223,6187724,0,0,7.05004,17
34,ellipsis,703,25.217,286,20352684,626100228,0.35,7.45372,14
35,syscoin,72,49.361,307,7633622,0,0,8.76752,7
36,dogelon-mars,297,33.497,190,121586017,0,0,1311.00048,14
37,radium,286,33.855,771,2742667,0,0,35.66742,7
38,kin,463,28.886,362,4758554,0,0,19.52477,16
