,id,cg_rank,cg_score,market_rank,daily_vol,tvl,mcap_t_tvl,price_change,number_of_exchanges
0,coti,307,33.234,186,120903716,0,0.0,-14.65043,24
1,band-protocol,78,48.542,208,47332729,0,0.0,24.41884,56
2,sushi,397,30.27,73,350810991,5597883654,0.37,7.81213,60
3,orchid-protocol,45,52.472,264,30362708,0,0.0,39.27539,35
4,cartesi,130,43.863,216,36208016,0,0.0,28.43815,32
5,cosmos,29,55.799,21,1175378814,0,0.0,5.32995,47
6,polkadot,135,43.179,8,2810638316,0,0.0,54.11322,52
7,harvest-finance,824,23.714,472,8361876,439975509,0.22,-2.81979,17
8,truefi,696,25.363,232,53973691,993305000,0.32,52.08089,11
9,uniswap,167,40.113,17,382054350,5234482290,2.49,11.98473,63
10,keep-network,34,54.422,212,35566535,253788647,1.41,87.85333,22
11,zcash,16,59.983,82,382537181,0,0.0,47.10084,52
12,balancer,153,40.939,240,129132350,3529984701,0.08,34.52256,62
13,ethereum,3,77.352,2,25823469696,0,0.0,42.37404,52
14,the-graph,18,58.965,43,354367027,0,0.0,46.10036,63
15,bitcoin-cash,123,44.383,22,7717460318,0,0.0,15.84546,56
16,dogecoin,6,66.988,10,14464167696,0,0.0,49.01213,53
17,tether,152,41.036,4,118412518944,0,0.0,0.83385,34
18,livepeer,64,50.357,155,30114363,0,0.0,44.23505,30
19,rally-2,811,23.839,125,8323760,0,0.0,-0.6047,17
20,mirror-protocol,638,26.071,237,30377930,1483759878,0.2,-1.56945,33
21,alchemy-pay,724,24.915,319,51418097,0,0.0,-8.01858,14
22,chainlink,11,63.254,14,1613510805,0,0.0,31.5246,58
23,yfii-finance,768,24.317,356,33662172,1068108,142.91,1.06741,39
24,litecoin,13,62.523,18,2297915152,0,0.0,29.53922,60
25,derivadao,808,23.902,390,2668082,70228307,1.84,-25.89588,9
26,uma,79,48.448,137,42725085,48941653,14.64,27.15628,54
27,rarible,999,21.894,466,3958679,0,0.0,28.82044,11
28,maker,35,54.26,71,92418554,17005621688,0.13,5.35689,60
29,fetch-ai,88,47.486,172,53459764,0,0.0,1.56574,25
30,badger-dao,717,25.0,254,35652652,903620142,0.29,71.46012,17
31,tezos,17,59.248,39,353867957,0,0.0,1.17394,50
32,adventure-gold,651,25.913,300,64433233,0,0.0,-8.3026,20
33,0x,42,52.897,129,107196640,0,0.0,15.2149,52
34,1inch,455,29.068,117,871220963,84819513,11.17,108.38336,62
35,bitcoin,2,81.411,1,44677940287,0,0.0,45.73715,40
36,gitcoin,383,30.626,416,14902643,0,0.0,29.39819,11
37,iexec-rlc,116,45.128,241,19034690,0,0.0,20.70417,31
38,bancor,60,50.723,115,64134776,1645612030,0.6,20.95963,18
39,polymath,73,49.311,159,25294876,0,0.0,14.03167,26
40,playdapp,1058,21.422,280,16942470,0,0.0,39.97031,10
41,eos,21,58.287,46,1228760525,0,0.0,14.90782,51
42,tribe-2,144,42.183,198,16599260,0,0.0,52.1329,16
43,numeraire,128,44.004,272,7264592,13097206,18.67,5.30935,31
44,nkn,97,46.26,263,15340792,0,0.0,39.65982,19
45,amp-token,287,33.833,72,44084059,1248070003,1.7,-0.25438,15
46,tellor,693,25.383,455,17710766,0,0.0,17.93708,23
47,wrapped-centrifuge,949,22.302,312,2548780,0,0.0,46.21629,6
48,ankr,141,42.702,134,87925609,218362086,3.34,17.27533,51
49,origin-protocol,77,48.758,246,40847057,0,0.0,10.30886,41
50,auction,524,27.693,257,26153682,0,0.0,44.50077,8
51,orion-protocol,806,23.928,273,12571780,34335612,7.06,-0.2861,15
52,stellar,9,64.389,24,773695729,0,0.0,29.16406,53
53,quick,440,29.354,351,25750409,717685313,0.22,25.61433,13
54,radicle,676,25.56,289,13825292,0,0.0,28.36598,16
55,perpetual-protocol,601,26.661,119,73562156,13470282,67.84,7.02476,28
56,wrapped-bitcoin,390,30.425,15,492334346,13658723858,1.01,45.47214,43
57,cardano,10,64.267,5,3721565451,0,0.0,-5.83148,50
58,storj,44,52.746,338,31430427,0,0.0,15.11112,49
59,nucypher,239,35.782,157,92501483,0,0.0,256.89365,25
60,loopring,61,50.499,154,133179382,130005085,4.44,28.7109,63
61,augur,84,48.012,352,18688189,3321990,47.04,12.78025,47
62,request-network,137,43.076,357,11410648,0,0.0,5.00487,18
